0x0000, Empty
0x0001, Tree Stump (Small)
0x0002, Tree Stump (Medium)
0x0003, Tree Stump (Large)
0x0004, Tree Stump (Fully Grown)
0x0005, Fence (Type 1)
0x0006, Fence (Type 2)
0x0007, Message Board (B)
0x0008, Weed
0x0009, Weed
0x000A, Weed
0x000B, Message Board (A)
0x000C, Map Board (B)
0x000D, Map Board (A)
0x000E, Music Board (B)
0x000F, Music Board (A)
0x0010, Wooden Fence
0x0011, Hole
0x0012, Hole (Angled Down)
0x0013, Hole (Angled Up)
0x0014, Hole (Angled Right)
0x0015, Hole (Angled Left)
0x0016, Hole (Angled Down & Right)
0x0017, Hole (Angled Down & Left)
0x0018, Hole (Angled Up & Right)
0x0019, Hole (Angled Up & Left)
0x001A, Hole (Right)
0x001B, Hole (Left)
0x001C, Hole (Right)
0x001D, Hole (Left)
0x001E, Hole (Right)
0x001F, Hole (Left)
0x0020, Hole (Bent & Angled Right)
0x0021, Hole (Bent & Angled Left)
0x0022, Hole (Bent & Angled Down-Left)
0x0023, Hole (Bent & Angled Down-Right)
0x0024, Hole (Bent & Angled Back Up-Right)
0x0025, Hole (Bent & Angled Back Up-Left)
0x0026, Hole (Bent & Angled Up-Left)
0x0027, Hole (Bent & Angled Up-Right)
0x0028, Hole (Bent & Angled Down)
0x0029, Hole (Bent & Angled Down-Left Slightly)
0x002A, Buried Pitfall
0x002B, Buried Pitfall (Angled Down)
0x002C, Buried Pitfall (Angled Up)
0x002D, Buried Pitfall (Angled Right)
0x002E, Buried Pitfall (Angled Left)
0x002F, Buried Pitfall (Angled Down & Right)
0x0030, Buried Pitfall (Angled Down & Left)
0x0031, Buried Pitfall (Angled Up & Right)
0x0032, Buried Pitfall (Angled Up & Left)
0x0033, Buried Pitfall (Right)
0x0034, Buried Pitfall (Left)
0x0035, Buried Pitfall (Right)
0x0036, Buried Pitfall (Left)
0x0037, Buried Pitfall (Right)
0x0038, Buried Pitfall (Left)
0x0039, Buried Pitfall (Bent & Angled Right)
0x003A, Buried Pitfall (Bent & Angled Left)
0x003B, Buried Pitfall (Bent & Angled Down-Left)
0x003C, Buried Pitfall (Bent & Angled Down-Right)
0x003D, Buried Pitfall (Bent & Angled Back Up-Right)
0x003E, Buried Pitfall (Bent & Angled Back Up-Left)
0x003F, Buried Pitfall (Bent & Angled Up-Left)
0x0040, Buried Pitfall (Bent & Angled Up-Right)
0x0041, Buried Pitfall (Bent & Angled Down)
0x0042, Buried Pitfall (Bent & Angled Down-Left Slightly)
0x0043, Buried Pitfall (No Hitbox)
0x0044, Buried Pitfall (Angled Down) (No Hitbox)
0x0045, Buried Pitfall (Angled Up) (No Hitbox)
0x0046, Buried Pitfall (Angled Right) (No Hitbox)
0x0047, Buried Pitfall (Angled Left) (No Hitbox)
0x0048, Buried Pitfall (Angled Down & Right) (No Hitbox)
0x0049, Buried Pitfall (Angled Down & Left) (No Hitbox)
0x004A, Buried Pitfall (Angled Up & Right) (No Hitbox)
0x004B, Buried Pitfall (Angled Up & Left) (No Hitbox)
0x004C, Buried Pitfall (Right) (No Hitbox)
0x004D, Buried Pitfall (Left) (No Hitbox)
0x004E, Buried Pitfall (Right) (No Hitbox)
0x004F, Buried Pitfall (Left) (No Hitbox)
0x0050, Buried Pitfall (Right) (No Hitbox)
0x0051, Buried Pitfall (Left) (No Hitbox)
0x0052, Buried Pitfall (Bent & Angled Right) (No Hitbox)
0x0053, Buried Pitfall (Bent & Angled Left) (No Hitbox)
0x0054, Buried Pitfall (Bent & Angled Down-Left) (No Hitbox)
0x0055, Buried Pitfall (Bent & Angled Down-Right) (No Hitbox)
0x0056, Buried Pitfall (Bent & Angled Back Up-Right) (No Hitbox)
0x0057, Buried Pitfall (Bent & Angled Back Up-Left) (No Hitbox)
0x0058, Buried Pitfall (Bent & Angled Up-Left) (No Hitbox)
0x0059, Buried Pitfall (Bent & Angled Up-Right) (No Hitbox)
0x005A, Buried Pitfall (Bent & Angled Down) (No Hitbox)
0x005B, Buried Pitfall (Bent & Angled Down-Left Slightly) (No Hitbox)
0x005C, Glowing Spot
0x005D, Hole w/ Glowing Spot
0x005E, Tree (Bees)
0x005F, Tree (Furniture)
0x0060, Tree (Festive Lights)
0x0061, Tree (Present)
0x0062, Beehive (Disappears)
0x0063, Rock (Type 1)
0x0064, Rock (Type 2)
0x0065, Rock (Type 3)
0x0066, Rock (Type 4)
0x0067, Rock (Type 5)
0x0068, Flower Seed
0x0069, Tree (Bells)
0x006A, Money Rock (Type 1)
0x006B, Money Rock (Type 2)
0x006C, Money Rock (Type 3)
