0x0000, No Villager
0xE000, Bob
0xE001, Olivia
0xE002, Mitzi
0xE003, Kiki
0xE004, Tangy
0xE005, Kabuki
0xE006, Tabby
0xE007, Monique
0xE008, Stinky
0xE009, Purrl
0xE00A, Kitty
0xE00B, Tom
0xE00C, Rosie
0xE00D, Nosegay
0xE00E, Zoe
0xE00F, Pango
0xE010, Cyrano
0xE011, Snooty
0xE012, Teddy
0xE013, Chow
0xE014, Dozer
0xE015, Nate
0xE016, Groucho
0xE017, Tutu
0xE018, Ursala
0xE019, Grizzly
0xE01A, Pinky
0xE01B, Jay
0xE01C, Twiggy
0xE01D, Anchovy
0xE01E, Piper
0xE01F, Admiral
0xE020, Otis
0xE021, Robin
0xE022, Midge
0xE023, Ace
0xE024, Twirp
0xE025, Chuck
0xE026, Stu
0xE027, Goose
0xE028, Betty
0xE029, Hector
0xE02A, Egbert
0xE02B, Ava
0xE02C, Hank
0xE02D, Leigh
0xE02E, Rhoda
0xE02F, Vladimir
0xE030, Murphy
0xE031, Cupcake
0xE032, Kody
0xE033, Maple
0xE034, Pudge
0xE035, Olive
0xE036, Poncho
0xE037, Bluebear
0xE038, Patty
0xE039, Petunia
0xE03A, Bessie
0xE03B, Belle
0xE03C, Alfonso
0xE03D, Boots
0xE03E, Liz
0xE03F, Biskit
0xE040, Goldie
0xE041, Daisy
0xE042, Lucky
0xE043, Portia
0xE044, Maddie
0xE045, Butch
0xE046, Bill
0xE047, Pompom
0xE048, Joey
0xE049, Scoot
0xE04A, Derwin
0xE04B, Freckles
0xE04C, Paolo
0xE04D, Dizzy
0xE04E, Axel
0xE04F, Emerald
0xE050, Tad
0xE051, Wart Jr.
0xE052, Cousteau
0xE053, Puddles
0xE054, Lily
0xE055, Jeremiah
0xE056, Huck
0xE057, Camofrog
0xE058, Ribbot
0xE059, Prince
0xE05A, Jambette
0xE05B, Billy
0xE05C, Chevre
0xE05D, Iggy
0xE05E, Gruff
0xE05F, Sven
0xE060, Velma
0xE061, Jane
0xE062, Cesar
0xE063, Louie
0xE064, Peewee
0xE065, Rollo
0xE066, Bubbles
0xE067, Bertha
0xE068, Elmer
0xE069, Winnie
0xE06A, Savannah
0xE06B, Ed
0xE06C, Cleo
0xE06D, Peaches
0xE06E, Buck
0xE06F, Carrie
0xE070, Mathilda
0xE071, Marcy
0xE072, Kitt
0xE073, Valise
0xE074, Astrid
0xE075, Sydney
0xE076, Gonzo
0xE077, Ozzie
0xE078, Yuka
0xE079, Huggy
0xE07A, Rex
0xE07B, Aziz
0xE07C, Leopold
0xE07D, Samson
0xE07E, Penny
0xE07F, Dora
0xE080, Chico
0xE081, Candi
0xE082, Rizzo
0xE083, Anicotti
0xE084, Limberg
0xE085, Carmen
0xE086, Octavian
0xE087, Sandy
0xE088, Sprocket
0xE089, Rio
0xE08A, Queenie
0xE08B, Apollo
0xE08C, Buzz
0xE08D, Quetzal
0xE08E, Amelia
0xE08F, Pierce
0xE090, Roald
0xE091, Aurora
0xE092, Hopper
0xE093, Cube
0xE094, Puck
0xE095, Gwen
0xE096, Friga
0xE097, Curly
0xE098, Truffles
0xE099, Spork
0xE09A, Hugh
0xE09B, Rasher
0xE09C, Sue E
0xE09D, Hambo
0xE09E, Lucy
0xE09F, Cobb
0xE0A0, Boris
0xE0A1, Bunnie
0xE0A2, Doc
0xE0A3, Gaston
0xE0A4, Coco
0xE0A5, Gabi
0xE0A6, Dotty
0xE0A7, Genji
0xE0A8, Snake
0xE0A9, Claude
0xE0AA, Tank
0xE0AB, Spike
0xE0AC, Tiara
0xE0AD, Vesta
0xE0AE, Filbert
0xE0AF, Hazel
0xE0B0, Peanut
0xE0B1, Pecan
0xE0B2, Ricky
0xE0B3, Static
0xE0B4, Mint
0xE0B5, Nibbles
0xE0B6, Tybalt
0xE0B7, Rolf
0xE0B8, Bangle
0xE0B9, Lobo
0xE0BA, Freya
0xE0BB, Chief
0xE0BC, Weber
0xE0BD, Mallary
0xE0BE, Wolfgang
0xE0BF, Hornsby
0xE0C0, Oxford
0xE0C1, T-Bone
0xE0C2, Biff
0xE0C3, Opal
0xE0C4, Bones
0xE0C5, Bea
0xE0C6, Bitty
0xE0C7, Rocco
0xE0C8, Lulu
0xE0C9, Blaire
0xE0CA, Sally
0xE0CB, Ellie
0xE0CC, Eloise
0xE0CD, Alli
0xE0CE, Pippy
0xE0CF, Eunice
0xE0D0, Baabara
0xE0D1, Fang
0xE0D2, Deena
0xE0D3, Pate
0xE0D4, Stella
0xE0D5, Cashmere
0xE0D6, Woolio
0xE0D7, Cookie
