0x7FFE, Empty
//Enviromental Items
//Normal Trees:
0x0001, Wilted Bush
0x0002, Wilted Tree
0x0003, Wilted Cedar Tree
0x0004, Wilted Palm Tree
0x0005, Wilted Bamboo
0x0006, Dead Perfect Tree
0x0007, Cut Tree (Growing 1)
0x0008, Cut Tree (Growing 2)
0x0009, Cut Tree (Growing 3)
0x000A, Tree Stump
0x000B, Tree Stump (Heart)
0x000C, Tree Stump (Butterfly)
0x000D, Tree Stump (Citrus)
0x000E, Tree Stump (Redd's Leaf)
0x000F, Tree Stump (Cross)
0x0010, Tree Stump (Triforce)
0x0011, Cut Cedar (Growing 1)
0x0012, Cut Cedar (Growing 2)
0x0013, Cut Cedar (Growing 3)
0x0014, Cedar Stump
0x0015, Cedar Stump (Star)
0x0016, Cedar Stump (Cat)
0x0017, Cedar Stump (Flower)
0x0018, Cedar Stump (Leaf)
0x0019, Cedar Stump (Musical Note)
0x001A, Cedar Stump (Clover)
0x001B, Cut Palm Tree (Growing 1)
0x001C, Cut Palm Tree (Growing 2)
0x001D, Cut Palm Tree (Growing 3)
0x001E, Palm Tree Stump
0x001F, Cut Bamboo (Growing 1)
0x0020, Cut Bamboo (Growing 2)
0x0021, Cut Bamboo (Growing 3)
0x0022, Tree (Growing 1)
0x0023, Tree (Growing 2)
0x0024, Tree (Growing 3)
0x0025, Tree (Growing 4)
0x0026, Tree
0x0027, Cedar (Growing 1)
0x0028, Cedar (Growing 2)
0x0029, Cedar (Growing 3)
0x002A, Cedar (Growing 4)
0x002B, Cedar
0x002C, Coconut Palm Tree (Growing 1)
0x002D, Coconut Palm Tree (Growing 2)
0x002E, Coconut Palm Tree (Growing 3)
0x002F, Coconut Palm Tree (Growing 4)
0x0030, Coconut Palm Tree
0x0031, Banana Palm Tree (Growing 1)
0x0032, Banana Palm Tree (Growing 2)
0x0033, Banana Palm Tree (Growing 3)
0x0034, Banana Palm Tree (Growing 4)
0x0035, Banana Palm Tree
0x0036, Bamboo (Growing 1)
0x0037, Bamboo (Growing 2)
0x0038, Bamboo (Growing 3)
0x0039, Bamboo
//Fruit Trees:
0x003A, Apple Tree (Growing 1)
0x003B, Apple Tree (Growing 2)
0x003C, Apple Tree (Growing 3)
0x003D, Apple Tree (Growing 4)
0x003E, Apple Tree
0x003F, Orange Tree (Growing 1)
0x0040, Orange Tree (Growing 2)
0x0041, Orange Tree (Growing 3)
0x0042, Orange Tree (Growing 4)
0x0043, Orange Tree
0x0044, Pear Tree (Growing 1)
0x0045, Pear Tree (Growing 2)
0x0046, Pear Tree (Growing 3)
0x0047, Pear Tree (Growing 4)
0x0048, Pear Tree
0x0049, Peaches Tree (Growing 1)
0x004A, Peaches Tree (Growing 2)
0x004B, Peaches Tree (Growing 3)
0x004C, Peaches Tree (Growing 4)
0x004D, Peaches Tree
0x004E, Cherry Tree (Growing 1)
0x004F, Cherry Tree (Growing 2)
0x0050, Cherry Tree (Growing 3)
0x0051, Cherry Tree (Growing 4)
0x0052, Cherry Tree
0x0053, Durian Tree (Growing 1)
0x0054, Durian Tree (Growing 2)
0x0055, Durian Tree (Growing 3)
0x0056, Durian Tree (Growing 4)
0x0057, Durian Tree
0x0058, Lemon Tree (Growing 1)
0x0059, Lemon Tree (Growing 2)
0x005A, Lemon Tree (Growing 3)
0x005B, Lemon Tree (Growing 4)
0x005C, Lemon Tree
0x005D, Lychee Tree (Growing 1)
0x005E, Lychee Tree (Growing 2)
0x005F, Lychee Tree (Growing 3)
0x0060, Lychee Tree (Growing 4)
0x0061, Lychee Tree
0x0062, Mango Tree (Growing 1)
0x0063, Mango Tree (Growing 2)
0x0064, Mango Tree (Growing 3)
0x0065, Mango Tree (Growing 4)
0x0066, Mango Tree
0x0067, Persimmons Tree (Growing 1)
0x0068, Persimmons Tree (Growing 2)
0x0069, Persimmons Tree (Growing 3)
0x006A, Persimmons Tree (Growing 4)
0x006B, Persimmons Tree
0x006C, Money Tree (Growing 1)
0x006D, Money Tree (Growing 2)
0x006E, Money Tree (Growing 3)
0x006F, Money Tree (Growing 4)
0x0070, Money Tree
0x0071, Tree (Item)
0x0072, Tree (Bees)
0x0073, Tree (Money 1)
0x0074, Tree (Money 2)
0x0075, Tree (Egg)
0x0076, Cedar (Item)
0x0077, Cedar (Bees)
0x0078, Cedar (Money 1)
0x0079, Cedar (Money 2)
0x007A, Cedar (Egg)
0x007B, Cedar (Xmas)
//Weeds:
0x007C, Weed (A)
0x007D, Weed (B)
0x007E, Weed (C)
0x007F, Weed (D)
//Bushes:
0x0080, Holly Bush (Growing 1)
0x0081, Holly Bush (Growing 2)
0x0082, Holly Bush
0x0083, Pink Azalea Bush (Growing 1)
0x0084, Pink Azalea Bush (Growing 2)
0x0085, Pink Azalea Bush
0x0086, White Azalea Bush (Growing 1)
0x0087, White Azalea Bush (Growing 2)
0x0088, White Azalea Bush
0x0089, Blue Hydrangea Bush (Growing 1)
