//Flowers
0x0000, Red Tulips
0x0001, White Tulips
0x0002, Yellow Tulips
0x0003, Pink Tulips
0x0004, Purple Tulips
0x0005, Black Tulips
0x0006, White Pansies
0x0007, Yellow Pansies
0x0008, Red Pansies
0x0009, Purple Pansies
0x000A, Orange Pansies
0x000B, Blue Pansies
0x000C, White Cosmos
0x000D, Red Cosmos
0x000E, Yellow Cosmos
0x000F, Pink Cosmos
0x0010, Orange Cosmos
0x0011, Black Cosmos
0x0012, Red Roses
0x0013, White Roses
0x0014, Yellow Roses
0x0015, Pink Roses
0x0016, Orange Roses
0x0017, Purple Roses
0x0018, Black Roses
0x0019, Blue Roses
0x001A, Jacob's Ladder
0x001B, Rafflesia
0x001C, Gold Roses
//Weeds
0x001D, Dandelions
0x001E, Dandelion Puffs
0x001F, Dried Clovers
0x0020, Dried Clovers (Lucky)
0x0021, Weed #1
0x0022, Weed #2
0x0023, Weed #3
0x0024, Weed #4
//Trees
0x0025, Sapling
0x0026, Small Tree
0x0027, Medium Tree
0x0028, Large Tree
0x0029, Tree
0x002A, Fully Grown Tree
0x002B, Small Stump
0x002C, Medium Stump
0x002D, Large Stump
0x002E, Fully Grown Stump
0x002F, Peach Sapling
0x0030, Small Peach Tree
0x0031, Medium Peach Tree
0x0032, Large Peach Sapling
0x0033, Peach Tree - [Fruit]
0x0034, Peach Tree - [No Fruit] #1
0x0035, Peach Tree - [No Fruit] #2
0x0036, Peach Tree - [No Fruit] #3
0x0037, Apple Sapling
0x0038, Small Apple Tree
0x0039, Medium Apple Tree
0x003A, Large Apple Sapling
0x003B, Apple Tree - [Fruit]
0x003C, Apple Tree - [No Fruit] #1
0x003D, Apple Tree - [No Fruit] #2
0x003E, Apple Tree - [No Fruit] #3
0x003F, Orange Sapling
0x0040, Small Orange Tree
0x0041, Medium Orange Tree
0x0042, Large Orange Sapling
0x0043, Orange Tree - [Fruit]
0x0044, Orange Tree - [No Fruit] #1
0x0045, Orange Tree - [No Fruit] #2
0x0046, Orange Tree - [No Fruit] #3
0x0047, Pear Sapling
0x0048, Small Pear Tree
0x0049, Medium Pear Tree
0x004A, Large Pear Sapling
0x004B, Pear Tree - [Fruit]
0x004C, Pear Tree - [No Fruit] #1
0x004D, Pear Tree - [No Fruit] #2
0x004E, Pear Tree - [No Fruit] #3
0x004F, Cherry Sapling
0x0050, Small Cherry Tree
0x0051, Medium Cherry Tree
0x0052, Large Cherry Sapling
0x0053, Cherry Tree - [Fruit]
0x0054, Cherry Tree - [No Fruit] #1
0x0055, Cherry Tree - [No Fruit] #2
0x0056, Cherry Tree - [No Fruit] #3
0x0057, Money Tree Sapling
0x0058, Small Money Tree
0x0059, Medium Money Tree
0x005A, Large Money Sapling
0x005B, Money Tree - [Money]
0x005C, Cedar Sapling
0x005D, Small Cedar Tree
0x005E, Medium Cedar Tree
0x005F, Large Cedar Tree
0x0060, Cedar Tree
0x0061, Fully Grown Cedar Tree
0x0062, Small Cedar Stump
0x0063, Medium Cedar Stump
0x0064, Large Cedar Stump
0x0065, Fully Grown Cedar Stump
//Special Trees
0x0066, Tree - [Furniture]
0x0067, Tree - [Bees]
0x0068, Tree - [Bells]
0x0069, Tree - [Acorn]
0x006A, Cedar Tree - [Furniture]
0x006B, Cedar Tree - [Bees]
0x006C, Cedar Tree - [Bells]
0x006D, Cedar Tree - [Festive Lights]
//Parched Flowers
0x006E, Red Tulips - [Parched]
0x006F, White Tulips - [Parched]
0x0070, Yellow Tulips - [Parched]
0x0071, Pink Tulips - [Parched]
0x0072, Purple Tulips - [Parched]
0x0073, Black Tulips - [Parched]
0x0074, White Pansies - [Parched]
0x0075, Yellow Pansies - [Parched]
0x0076, Red Pansies - [Parched]
0x0077, Purple Pansies - [Parched]
0x0078, Orange Pansies - [Parched]
0x0079, Blue Pansies - [Parched]
0x007A, White Cosmos - [Parched]
0x007B, Red Cosmos - [Parched]
0x007C, Yellow Cosmos - [Parched]
0x007D, Pink Cosmos - [Parched]
0x007E, Orange Cosmos - [Parched]
0x007F, Black Cosmos - [Parched]
0x0080, Red Roses - [Parched]
0x0081, White Roses - [Parched]
0x0082, Yellow Roses - [Parched]
0x0083, Pink Roses - [Parched]
0x0084, Orange Roses - [Parched]
0x0085, Purple Roses - [Parched]
0x0086, Black Roses - [Parched]
0x0087, Blue Roses - [Parched]
0x0088, Jacob's Ladder - [Parched]
0x0089, Rafflesia - [Parched]
//Watered Flowers
0x008A, Red Tulips - [Watered]
0x008B, White Tulips - [Watered]
0x008C, Yellow Tulips - [Watered]
0x008D, Pink Tulips - [Watered]
0x008E, Purple Tulips - [Watered]
0x008F, Black Tulips - [Watered]
0x0090, White Pansies - [Watered]
0x0091, Yellow Pansies - [Watered]
0x0092, Red Pansies - [Watered]
0x0093, Purple Pansies - [Watered]
0x0094, Orange Pansies - [Watered]
0x0095, Blue Pansies - [Watered]
0x0096, White Cosmos - [Watered]
0x0097, Red Cosmos - [Watered]
0x0098, Yellow Cosmos - [Watered]
0x0099, Pink Cosmos - [Watered]
0x009A, Orange Cosmos - [Watered]
0x009B, Black Cosmos - [Watered]
0x009C, Red Roses - [Watered]
0x009D, White Roses - [Watered]
0x009E, Yellow Roses - [Watered]
0x009F, Pink Roses - [Watered]
0x00A0, Orange Roses - [Watered]
0x00A1, Purple Roses - [Watered]
0x00A2, Black Roses - [Watered]
0x00A3, Blue Roses - [Watered]
0x00A4, Jacob's Ladder - [Watered]
0x00A5, Rafflesia - [Watered]
//Fake Buried Spot #1
0x00A6, Fake Buried Spot #1
//Patterns
0x00A7, Pattern #1 - Player #1
0x00A8, Pattern #2 - Player #1
0x00A9, Pattern #3 - Player #1
0x00AA, Pattern #4 - Player #1
0x00AB, Pattern #5 - Player #1
0x00AC, Pattern #6 - Player #1
0x00AD, Pattern #7 - Player #1
0x00AE, Pattern #8 - Player #1
0x00AF, Pattern #1 - Player #2
0x00B0, Pattern #2 - Player #2
