//Flowers
0x009E, Red Tulips
0x009F, White Tulips
0x00A0, Yellow Tulips
0x00A1, Pink Tulips
0x00A2, Purple Tulips
0x00A3, Black Tulips
0x00A4, White Pansies
0x00A5, Yellow Pansies
0x00A6, Red Pansies
0x00A7, Purple Pansies
0x00A8, Orange Pansies
0x00A9, Blue Pansies
0x00AA, White Cosmos
0x00AB, Red Cosmos
0x00AC, Yellow Cosmos
0x00AD, Pink Cosmos
0x00AE, Orange Cosmos
0x00AF, Black Cosmos
0x00B0, Red Roses
0x00B1, White Roses
0x00B2, Yellow Roses
0x00B3, Pink Roses
0x00B4, Orange Roses
0x00B5, Purple Roses
0x00B6, Black Roses
0x00B7, Blue Roses
0x00B8, Gold Roses
0x00B9, Red Carnation
0x00BA, Pink Carnation
0x00BB, White Carnation
0x00BC, Jacob's Ladder
0x00BD, Rafflesia
//Parched Flowers
0x00BE, Red Tulips (Wilted)
0x00BF, White Tulips (Wilted)
0x00C0, Yellow Tulips (Wilted)
0x00C1, Pink Tulips (Wilted)
0x00C2, Purple Tulips (Wilted)
0x00C3, Black Tulips (Wilted)
0x00C4, White Pansies (Wilted)
0x00C5, Yellow Pansies (Wilted)
0x00C6, Red Pansies (Wilted)
0x00C7, Purple Pansies (Wilted)
0x00C8, Orange Pansies (Wilted)
0x00C9, Blue Pansies (Wilted)
0x00CA, White Cosmos (Wilted)
0x00CB, Red Cosmos (Wilted)
0x00CC, Yellow Cosmos (Wilted)
0x00CD, Pink Cosmos (Wilted)
0x00CE, Orange Cosmos (Wilted)
0x00CF, Black Cosmos (Wilted)
0x00D0, Red Roses (Wilted)
0x00D1, White Roses (Wilted)
0x00D2, Yellow Roses (Wilted)
0x00D3, Pink Roses (Wilted)
0x00D4, Orange Roses (Wilted)
0x00D5, Purple Roses (Wilted)
0x00D6, Black Roses (Wilted)
0x00D7, Blue Roses (Wilted)
0x00D8, Gold Roses (Wilted)
0x00D9, Red Carnation (Wilted)
0x00DA, Pink Carnation (Wilted)
0x00DB, White Carnation (Wilted)
0x00DC, Jacob's Ladder (Wilted)
0x00DD, Rafflesia (Wilted)
//Misc
0x0094, Hole
0x00E2, Seed
0x00E3, Bee Hive
0x00E4, Weird Clover
0x7000, Snowman 1
0x7001, Snowman 2
0x7002, Snowman 3
//Buildings
0x7003, Bus Stop Sign (Actor)
0xD000, Sign (Actor)
//Patterns
0x0074, Pattern 1-1
0x0075, Pattern 1-2
0x0076, Pattern 1-3
0x0077, Pattern 1-4
0x0078, Pattern 1-5
0x0079, Pattern 1-6
0x007A, Pattern 1-7
0x007B, Pattern 1-8
0x007C, Pattern 2-1
0x007D, Pattern 2-2
0x007E, Pattern 2-3
0x007F, Pattern 2-4
0x0080, Pattern 2-5
0x0081, Pattern 2-6
0x0082, Pattern 2-7
0x0083, Pattern 2-8
0x0084, Pattern 3-1
0x0085, Pattern 3-2
0x0086, Pattern 3-3
0x0087, Pattern 3-4
0x0088, Pattern 3-5
0x0089, Pattern 3-6
0x008A, Pattern 3-7
0x008B, Pattern 3-8
0x008C, Pattern 4-1
0x008D, Pattern 4-2
0x008E, Pattern 4-3
0x008F, Pattern 4-4
0x0090, Pattern 4-5
0x0091, Pattern 4-6
0x0092, Pattern 4-7
0x0093, Pattern 4-8
//Rocks
0x005B, Rock 1
0x005C, Rock 2
0x005D, Rock 3
0x005E, Rock 4
0x005F, Rock 5
0x0065, Rock 6
0x0066, Rock 7
0x0067, Rock 8
0x0068, Rock 9
0x0069, Rock 10
0x006A, Rock 11
0x006B, Rock 12
0x006C, Rock 13
0x006D, Rock 14
0x006E, Rock 15
0x006F, Rock 16
0x0070, Rock 17
0x0071, Rock 18
0x0072, Rock 19
0x0073, Rock 20
0x0060, Money Rock 1
0x0061, Money Rock 2
0x0062, Money Rock 3
0x0063, Money Rock 4
0x0064, Money Rock 5
//Trees
0x0001, Dead Sapling
0x0002, Dead Sapling
0x0003, Dead Pine Sapling
0x0004, Dead Palm Sapling
0x0005, Stump Size 1
0x0006, Stump Size 2
0x0007, Stump Size 3
0x0008, Stump Size 4
0x0009, Pine Stump Size 1
0x000A, Pine Stump Size 2
0x000B, Pine Stump Size 3
0x000C, Pine Stump Size 4
0x000E, Palm Stump Size 1
0x000F, Palm Stump Size 2
0x0010, Palm Stump Size 3
0x0011, Tree Size 1
0x0012, Tree Size 2
0x0013, Tree Size 3
0x0014, Tree Size 4
0x0015, Tree Size 5
0x0016, Furniture Tree
