0x0000, Empty
0x0001, Tree Stump (Small)
0x0002, Tree Stump (Medium)
0x0003, Tree Stump (Large)
0x0004, Tree Stump (Fully Grown)
0x0005, Fence (Type 1)
0x0006, Fence (Type 2)
0x0007, Message Board (B)
0x0008, Weed
0x0009, Weed
0x000A, Weed
0x000B, Message Board (A)
0x000C, Map Board (B)
0x000D, Map Board (A)
0x000E, Music Board (B)
0x000F, Music Board (A)
0x0010, Wooden Fence
0x0011, Hole
0x0012, Hole (Angled Down)
0x0013, Hole (Angled Up)
0x0014, Hole (Angled Right)
0x0015, Hole (Angled Left)
0x0016, Hole (Angled Down & Right)
0x0017, Hole (Angled Down & Left)
0x0018, Hole (Angled Up & Right)
0x0019, Hole (Angled Up & Left)
0x001A, Hole (Right)
0x001B, Hole (Left)
0x001C, Hole (Right)
0x001D, Hole (Left)
0x001E, Hole (Right)
0x001F, Hole (Left)
0x0020, Hole (Bent & Angled Right)
0x0021, Hole (Bent & Angled Left)?
0x0022, Hole (Bent & Angled Down-Left)
0x0023, Hole (Bent & Angled Down-Right)
0x0024, Hole (Bent & Angled Back Up-Right)
0x0025, Hole (Bent & Angled Back Up-Left)
0x0026, Hole (Bent & Angled Up-Left)
0x0027, Hole (Bent & Angled Up-Right)
0x0028, Hole (Bent & Angled Down)
0x0029, Hole (Bent & Angled Down-Left Slightly)
0x002A, Buried Pitfall
0x002B, Buried Pitfall (Angled Down)
0x002C, Buried Pitfall (Angled Up)
0x002D, Buried Pitfall (Angled Left)
0x002E, Buried Pitfall (Angled Right)
0x002F, Buried Pitfall (Angled Down-Left)
0x0030, Buried Pitfall (Angled Down-Right)
0x0031, Buried Pitfall (Angled Up-Left)
0x0032, Buried Pitfall (Angled Up-Right)
0x0038, Buried Pitfall (Angled)
0x0040, Buried Pitfall (Bent Left)
0x0048, Buried Pitfall (Bent Down-Left)
0x0050, Buried Pitfall (Bent Left & Slightly Down)
//0x0033 - 0x005B (Pitfall bs that corrupts inventory)
0x005C, Glowing Spot
0x005D, Hole w/ Glowing Spot
0x005E, Tree (Bees)
0x005F, Tree (Furniture)
0x0060, Tree (Festive Lights)
0x0061, Tree (Present)
0x0062, Beehive (Disappears)
0x0063, Rock (Type 1)
0x0064, Rock (Type 2)
0x0065, Rock (Type 3)
0x0066, Rock (Type 4)
0x0067, Rock (Type 5)
0x0068, Rock (Unused)
0x0069, Tree (Bells)
0x006A, Red Rock (Type 1)
0x006B, Red Rock (Type 2)
0x006C, Red Rock (Type 3)
0x006D, Red Rock (Type 4)
0x006E, Red Rock (Type 5)
0x006F, Red Rock (Unused)
0x0070, Chopped Palm Tree (Small)
0x0071, Chopped Palm Tree (Medium)
0x0072, Chopped Palm Tree (Large)
0x0073, Chopped Palm Tree (Full)
0x0074, Chopped Cedar Tree (Small)
0x0075, Chopped Cedar Tree (Medium)
0x0076, Chopped Cedar Tree (Large)
0x0077, Chopped Cedar Tree (Full)
0x0078, Cedar Tree (Bells)
0x0079, Cedar Tree (Furniture)
0x007A, Cedar Tree (Bees)
0x007B, Chopped Tree (Small)
0x007C, Chopped Tree (Medium)
0x007D, Chopped Tree (Large)
0x007E, Chopped Tree (Full)
0x007F, Golden Tree w/ 100 Bells
0x0080, Golden Tree w/ Furniture
0x0081, Golden Tree w/ Bees
0x0082, Cedar Tree (Festive Lights)
0x0083, Sapling (No Hitbox)
0x0084, Small Tree (No Hitbox)
0x0085, Medium Tree (No Hitbox)
0x0086, Large Tree (No Hitbox)
0x0087, Fully Grown Tree (No Hitbox)
0x0088, Apple Tree Sapling (No Hitbox)
0x0089, Small Apple Tree (No Hitbox)
0x008A, Medium Apple Tree (No Hitbox)
0x008B, Large Apple Tree (No Hitbox)
0x008C, Fully Grown Apple Tree (No Hitbox) #1
0x008D, Fully Grown Apple Tree (No Hitbox) #2
0x008E, Fully Grown Apple Tree (No Hitbox) #3
0x008F, Apple Tree (No Hitbox)
0x0090, Orange Tree Sapling (Doesn't grow)
0x0091, Small Orange Tree (No Hitbox)
0x0092, Medium Orange Tree (No Hitbox)
0x0093, Large Orange Tree (No Hitbox)
0x0094, Fully Grown Orange Tree (No Hitbox) #1
0x0095, Fully Grown Orange Tree (No Hitbox) #2
0x0096, Fully Grown Orange Tree (No Hitbox) #3
0x0097, Orange Tree (No Hitbox)
0x0098, Peach Tree Sapling (No Hitbox)
0x0099, Small Peach Tree (No Hitbox)
0x009A, Medium Peach Tree (No Hitbox)
0x009B, Large Peach Tree (No Hitbox)
0x009C, Fully Grown Peach Tree (No Hitbox) #1
