//Transition Acres
0x0000, 0
0x0001, 1
0x0002, 2
0x0003, 3
0x0004, 4
0x0005, 5
0x0006, 6 (River EW)
0x0007, 7 (River EW)
0x0008, 8 (Ramp)
0x0009, 9 (Ramp)
0x000A, 10 (Ramp)
0x000B, 11 (Ramp)
0x000C, 12
0x000D, 13
0x000E, 14
0x000F, 15
0x0010, 16
0x0011, 17
0x0012, 18
0x0013, 19
0x0014, 20 (River NS)
0x0015, 21 (River NS)
0x0016, 22 (Ramp)
0x0017, 23 (Ramp)
0x0018, 24 (Ramp)
0x0019, 25 (Ramp)
0x001A, 26
0x001B, 27
0x001C, 28
0x001D, 29
0x001E, 30
0x001F, 31
0x0020, 32
0x0021, 33
0x0022, 34 (River NS)
0x0023, 35 (River NS)
0x0024, 36 (River NS)
0x0025, 37 (River NS)
0x0026, 38 (Ramp)
0x0027, 39 (Ramp)
0x0028, 40 (Ramp)
0x0029, 41 (Ramp)
0x002A, 42
0x002B, 43
0x002C, 44
0x002D, 45
0x002E, 46
0x002F, 47
0x0030, 48
0x0031, 49
0x0032, 50 (River NS)
0x0033, 51 (River NS)
0x0034, 52 (Ramp)
0x0035, 53 (Ramp)
0x0036, 54 (Ramp)
0x0037, 55 (Ramp)
0x0038, 56
0x0039, 57
0x003A, 58
0x003B, 59
0x003C, 60
0x003D, 61
0x003E, 62
0x003F, 63
0x0040, 64 (River NS)
0x0041, 65 (River NS)
0x0042, 66 (Ramp)
0x0043, 67 (Ramp)
0x0044, 68 (Ramp)
0x0045, 69 (Ramp)
0x0046, 70
0x0047, 71
0x0048, 72
0x0049, 73
0x004A, 74
0x004B, 75
0x004C, 76 (Ramp)
0x004D, 77 (Ramp)
0x004E, 78 (Ramp)
0x004F, 79 (Ramp)
0x0050, 80
0x0051, 81
0x0052, 82
0x0053, 83
0x0054, 84
0x0055, 85
0x0056, 86
0x0057, 87
0x0058, 88 (River NS)
0x0059, 89 (River NS)
0x005A, 90 (Ramp)
0x005B, 91 (Ramp)
0x005C, 92 (Ramp)
0x005D, 93 (Ramp)
0x005E, 94 (River EW)
0x005F, 95 (River EW)
//Grass Acres
0x0060, 0
0x0061, 1
0x0062, 2
0x0063, 3
0x0064, 4
0x0065, 5
0x0066, 6 (Pond)
0x0067, 7 (Pond)
0x0068, 8 (Pond)
0x0069, 9 (Pond)
0x006A, 10 (Pond)
0x006B, 11 (Pond)
//Building Acres
0x006C, 12 (Gate)
0x006D, 13 (Gate)
0x006E, 14 (Gate)
0x006F, 15 (Gate)
0x0070, 16 (Gate + Pond)
0x0071, 17 (Gate + Pond)
0x0072, 18 (Museum)
0x0073, 19 (Museum)
0x0074, 20 (Museum + Pond)
0x0075, 21 (Museum + Pond)
0x0076, 22 (Museum + Pond)
0x0077, 23 (Museum + Pond)
0x0078, 24 (Nook's)
0x0079, 25 (Nook's)
0x007A, 26 (Nook's)
0x007B, 27 (Nook's)
0x007C, 28 (Nook's + Pond)
0x007D, 29 (Nook's + Pond)
0x007E, 30 (Townhall)
0x007F, 31 (Townhall)
0x0080, 32 (Townhall)
0x0081, 33 (Townhall)
0x0082, 34 (Townhall)
0x0083, 35 (Townhall)
0x0084, 36 (Tailor)
0x0085, 37 (Tailor)
0x0086, 38 (Tailor + Pond)
0x0087, 39 (Tailor + Pond)
0x0088, 40 (Tailor + Pond)
0x0089, 41 (Tailor + Pond)
//Beachfront Acres
0x008A, 0
0x008B, 1
0x008C, 2
0x008D, 3
0x008E, 4
0x008F, 5
0x0090, 6
0x0091, 7
0x0092, 8
0x0093, 9
0x0094, 10
0x0095, 11
0x0096, 12 (River W)
0x0097, 13 (River W)
0x0098, 14 (River W)
0x0099, 15 (River W)
0x009A, 16 (River W + Bridge)
0x009B, 17 (River W + Bridge)
0x009C, 18 (River W + Bridge)
0x009D, 19 (River W + Bridge)
0x009E, 20 (River N)
0x009F, 21 (River N)
0x00A0, 22 (River N)
0x00A1, 23 (River N)
0x00A2, 24 (River N)
0x00A3, 25 (River N)
0x00A4, 26 (River N + Bridge)
0x00A5, 27 (River N + Bridge)
0x00A6, 28 (River N + Bridge)
0x00A7, 29 (River N + Bridge)
0x00A8, 30 (River N + Bridge)
0x00A9, 31 (River N + Bridge)
