//Villager Info
ID = 0x0000, Name = Cyrano, Personality = 2, Catchphrase = ah-CHOO, Shirt = 0x2472, Furniture = [0x2137, 0x2386, 0x23F6, 0x2759, 0x2AF0, 0x2AF1, 0x2AFD, 0x2AF1, 0x293E, 0x7FFE, 0x2AFC, 0x2AEF, 0x2AFB, 0x290C, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x200000, ]
ID = 0x0001, Name = Antonio, Personality = 1, Catchphrase = honk, Shirt = 0x2464, Furniture = [0x2137, 0x23AD, 0x2419, 0x2756, 0x2966, 0x2B79, 0x2961, 0x2C87, 0x2BC2, 0x296A, 0x2B7C, 0x2C70, 0x7FFE, 0x2B78, 0x2BA5, 0x7FFE, 0x7FFE, 0x7FFE, 0x296B, 0x7FFE, 0x230001, ]
ID = 0x0002, Name = Pango, Personality = 5, Catchphrase = snooooof, Shirt = 0x24E9, Furniture = [0x213D, 0x2382, 0x23C7, 0x2762, 0x2946, 0x293D, 0x2951, 0x7FFE, 0x2943, 0x28CF, 0x2954, 0x2B31, 0x2B48, 0x2B9C, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0xE0002, ]
ID = 0x0003, Name = Anabelle, Personality = 5, Catchphrase = snorty, Shirt = 0x250B, Furniture = [0x2138, 0x237C, 0x23EB, 0x2761, 0x297C, 0x2A3E, 0x2977, 0x2B74, 0x296D, 0x2972, 0x2B36, 0x2974, 0x2D44, 0x2B7D, 0x21F1, 0x7FFE, 0x7FFE, 0x7FFE, 0x2976, 0x7FFE, 0x240003, ]
ID = 0x0004, Name = Annalisa, Personality = 4, Catchphrase = gumdrop, Shirt = 0x2497, Furniture = [0x2163, 0x2373, 0x23F7, 0x2759, 0x7FFE, 0x2C10, 0x2C45, 0x2AF3, 0x2AF1, 0x2C4A, 0x2B24, 0x2B0C, 0x7FFE, 0x2AF4, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x2CD6, 0x7FFE, 0x270004, ]
ID = 0x0005, Name = Olaf, Personality = 3, Catchphrase = whiffa, Shirt = 0x256F, Furniture = [0x2178, 0x23AA, 0x23EF, 0x2772, 0x2C96, 0x2B5B, 0x2C7F, 0x2B9A, 0x2D06, 0x7FFE, 0x2C75, 0x2AE5, 0x7FFE, 0x2B9C, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x2CD1, 0x7FFE, 0x150005, ]
ID = 0x0006, Name = Teddy, Personality = 1, Catchphrase = grooof, Shirt = 0x2462, Furniture = [0x2156, 0x236C, 0x2403, 0x2759, 0x2B44, 0x2B9A, 0x2C3E, 0x2B9F, 0x2ACF, 0x2B73, 0x2AD0, 0x2AE7, 0x2B30, 0x2C4C, 0x2ADE, 0x2AD1, 0x7FFE, 0x7FFE, 0x2CCA, 0x7FFE, 0x260006, ]
ID = 0x0007, Name = Pinky, Personality = 5, Catchphrase = wah, Shirt = 0x2497, Furniture = [0x213C, 0x2389, 0x23F2, 0x275F, 0x294B, 0x2BC0, 0x293D, 0x2938, 0x293E, 0x28EB, 0x28B8, 0x2B31, 0x293B, 0x2B9E, 0x22DE, 0x2B26, 0x7FFE, 0x7FFE, 0x293F, 0x7FFE, 0x150007, ]
ID = 0x0008, Name = Curt, Personality = 2, Catchphrase = fuzzball, Shirt = 0x2458, Furniture = [0x2152, 0x2371, 0x23F6, 0x2759, 0x2BC1, 0x2B72, 0x2BC2, 0x2BA2, 0x2AF3, 0x28B2, 0x7FFE, 0x2B31, 0x2ADA, 0x254F, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x2CC7, 0x7FFE, 0x220008, ]
ID = 0x0009, Name = Chow, Personality = 2, Catchphrase = aiya, Shirt = 0x24DF, Furniture = [0x213B, 0x2384, 0x23FA, 0x275A, 0x2935, 0x293D, 0x22F3, 0x230C, 0x293E, 0x28D4, 0x293B, 0x2B2F, 0x293C, 0x7FFE, 0x2AE2, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x240009, ]
ID = 0x000A, Name = Nate, Personality = 0, Catchphrase = yawwwn, Shirt = 0x24C9, Furniture = [0x212D, 0x2387, 0x23E2, 0x2771, 0x2A8A, 0x2A83, 0x2D76, 0x2D76, 0x2B08, 0x2A46, 0x2A82, 0x2BD1, 0x2B4B, 0x2B7C, 0x2BA6, 0x7FFE, 0x7FFE, 0x7FFE, 0x2D7A, 0x7FFE, 0x25000A, ]
ID = 0x000B, Name = Groucho, Personality = 2, Catchphrase = grumble, Shirt = 0x249B, Furniture = [0x216B, 0x237A, 0x240D, 0x2759, 0x298D, 0x2994, 0x2993, 0x2BA0, 0x2991, 0x2AD3, 0x2B2F, 0x2C5F, 0x7FFE, 0x2AE7, 0x2B21, 0x7FFE, 0x7FFE, 0x7FFE, 0x2997, 0x7FFE, 0x21000B, ]
ID = 0x000C, Name = Tutu, Personality = 5, Catchphrase = twinkles, Shirt = 0x2463, Furniture = [0x213B, 0x2345, 0x242F, 0x2767, 0x7FFE, 0x29A3, 0x2A3E, 0x29A9, 0x29A4, 0x2B7C, 0x2B78, 0x2BB4, 0x2A47, 0x2B30, 0x2C54, 0x2AE0, 0x288C, 0x7FFE, 0x2A42, 0x2C2C, 0x45000C, ]
ID = 0x000D, Name = Grizzly, Personality = 2, Catchphrase = grrr..., Shirt = 0x244A, Furniture = [0x2154, 0x235A, 0x23DE, 0x276A, 0x2988, 0x7FFE, 0x2A59, 0x2B6E, 0x22F5, 0x2A53, 0x2A5B, 0x2A54, 0x2985, 0x2A56, 0x2CED, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x000D, ]
ID = 0x000E, Name = Paula, Personality = 7, Catchphrase = yodelay, Shirt = 0x2589, Furniture = [0x2161, 0x2367, 0x23EC, 0x2765, 0x2DDA, 0x296D, 0x2975, 0x2DDB, 0x2BA0, 0x2C70, 0x2B2D, 0x2B3A, 0x2B35, 0x2BB8, 0x2C76, 0x2CED, 0x7FFE, 0x7FFE, 0x2C2D, 0x2C2C, 0x1B000E, ]
ID = 0x000F, Name = Charlise, Personality = 7, Catchphrase = urgh, Shirt = 0x2531, Furniture = [0x2156, 0x2375, 0x241E, 0x2767, 0x2AC2, 0x2B5A, 0x7FFE, 0x2A7A, 0x2C4B, 0x2A6B, 0x2AC5, 0x2AC4, 0x2A6C, 0x7FFE, 0x2BA6, 0x2C7C, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x33000F, ]
ID = 0x0010, Name = Beardo, Personality = 3, Catchphrase = whiskers, Shirt = 0x254A, Furniture = [0x2170, 0x2385, 0x23FE, 0x2756, 0x7FFE, 0x2D32, 0x2C8B, 0x2B9F, 0x2D39, 0x2C89, 0x2D31, 0x2D35, 0x2C73, 0x2C75, 0x2D02, 0x2C7D, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x210010, ]
ID = 0x0011, Name = Klaus, Personality = 3, Catchphrase = strudel, Shirt = 0x252F, Furniture = [0x2178, 0x23B7, 0x23FC, 0x2774, 0x2C96, 0x2C7F, 0x2B9F, 0x294F, 0x294F, 0x2A8C, 0x2A8C, 0x2B49, 0x2B4F, 0x2B4F, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x20011, ]
ID = 0x0012, Name = Jay, Personality = 1, Catchphrase = heeeeeyy, Shirt = 0x244D, Furniture = [0x2128, 0x2349, 0x23C9, 0x275D, 0x294B, 0x2BA2, 0x2951, 0x294F, 0x2B47, 0x2B34, 0x2B3E, 0x2C9E, 0x2B3C, 0x2B3D, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x2955, 0x7FFE, 0x220012, ]
ID = 0x0013, Name = Robin, Personality = 6, Catchphrase = la-di-da, Shirt = 0x24FB, Furniture = [0x2130, 0x2382, 0x23F3, 0x275C, 0x2B1E, 0x2A1F, 0x2951, 0x2A1D, 0x22F4, 0x2BBA, 0x2B34, 0x2B32, 0x2950, 0x2B9D, 0x2B7A, 0x2130, 0x2B8F, 0x7FFE, 0x2D7A, 0x7FFE, 0xE0013, ]
ID = 0x0014, Name = Anchovy, Personality = 0, Catchphrase = chuurp, Shirt = 0x24C8, Furniture = [0x2142, 0x2348, 0x23FD, 0x275D, 0x2B44, 0x2B5B, 0x2B5B, 0x2B9F, 0x294F, 0x2B5E, 0x2B5E, 0x2B5D, 0x2B5E, 0x2B5E, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x2C2D, 0x7FFE, 0x150014, ]
ID = 0x0015, Name = Twiggy, Personality = 5, Catchphrase = cheepers, Shirt = 0x24AA, Furniture = [0x2131, 0x2345, 0x23CA, 0x2755, 0x2946, 0x2940, 0x2967, 0x2962, 0x2B9F, 0x2AE6, 0x2AE5, 0x2924, 0x2921, 0x2964, 0x2CEB, 0x2CED, 0x7FFE, 0x7FFE, 0x294A, 0x7FFE, 0x250015, ]
ID = 0x0016, Name = Jitters, Personality = 1, Catchphrase = bzzert, Shirt = 0x251E, Furniture = [0x212F, 0x237A, 0x23E2, 0x2756, 0x2A85, 0x2D77, 0x2A83, 0x2CFE, 0x2B81, 0x2A73, 0x2A73, 0x28F2, 0x2A88, 0x2BA6, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x270016, ]
ID = 0x0017, Name = Midge, Personality = 4, Catchphrase = tweedledee, Shirt = 0x2509, Furniture = [0x212D, 0x2364, 0x240C, 0x2764, 0x2956, 0x29AB, 0x29A7, 0x29A4, 0x29A9, 0x29A6, 0x29A8, 0x295C, 0x2B7C, 0x28D7, 0x2C9B, 0x2C54, 0x2B7A, 0x7FFE, 0x2CCB, 0x2C2C, 0x10017, ]
ID = 0x0018, Name = Lucha, Personality = 3, Catchphrase = cacaw, Shirt = 0x2556, Furniture = [0x2155, 0x235C, 0x23E1, 0x2772, 0x2A75, 0x2A77, 0x2A7B, 0x2A79, 0x2CF1, 0x2CB1, 0x2CD2, 0x2A7C, 0x2A7D, 0x2BA5, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x2CCB, 0x7FFE, 0x440018, ]
ID = 0x0019, Name = Jacques, Personality = 3, Catchphrase = zut alors, Shirt = 0x2557, Furniture = [0x216F, 0x2378, 0x242C, 0x2773, 0x7FFE, 0x2CB7, 0x2B47, 0x2D06, 0x2D06, 0x2C5F, 0x2C5F, 0x2C9E, 0x2992, 0x2CA3, 0x2CAC, 0x7FFE, 0x7FFE, 0x7FFE, 0x2CC9, 0x2C2E, 0x20019, ]
ID = 0x001A, Name = Peck, Personality = 1, Catchphrase = crunch, Shirt = 0x2599, Furniture = [0x215E, 0x236E, 0x2439, 0x2758, 0x294B, 0x2BA1, 0x7FFE, 0x2A3E, 0x2CFE, 0x2B86, 0x2954, 0x28CD, 0x2B33, 0x2B31, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x2C2C, 0x18001A, ]
ID = 0x001B, Name = Sparro, Personality = 1, Catchphrase = like whoa, Shirt = 0x2459, Furniture = [0x2167, 0x2375, 0x23F7, 0x2771, 0x2AF0, 0x2AF3, 0x2B72, 0x2B79, 0x2AF1, 0x2C3F, 0x2B4E, 0x7FFE, 0x2B25, 0x2BA4, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x2CC9, 0x7FFE, 0xA001B, ]
