// Nothing
0x7FFE, Empty
// Pattern
0x009D, Pattern
// Outside Flowers, Trees, Bushes, Fruit	
0x009F, Red Tulips
0x00A0, White Tulips
0x00A1, Yellow Tulips
0x00A2, Pink Tulips
0x00A3, Purple Tulips
0x00A4, Black Tulips
0x00A5, Orange Tulips
0x00A6, White Pansies
0x00A7, Yellow Pansies
0x00A8, Red Pansies
0x00A9, Purple Pansies
0x00AA, Orange Pansies
0x00AB, Blue Pansies
0x00AC, White Comsos
0x00AD, Red Cosmos
0x00AE, Sun Cosmos
0x00AF, Pink Cosmos
0x00B0, Orange Cosmos
0x00B1, Black Cosmos
0x00B2, Red Roses
0x00B3, White Roses
0x00B4, Yellow Roses
0x00B5, Pink Roses
0x00B6, Orange Roses
0x00B7, Purple Roses
0x00B8, Black Roses
0x00B9, Blue Roses
0x00BA, Gold Roses
0x00BB, Red Carnations
0x00BC, Pink Carnations
0x00BD, White Carnations 
0x00BE, White Lilies
0x00BF, Yellow Lilies
0x00C0, Red Lilies
0x00C1, Orange Lilies
0x00C2, Pink Lilies
0x00C3, Black Lilies
0x00C4, Purple Violets
0x00C5, Blue Violets
0x00C6, White Violets
0x00C7, Yellow Violets
0x00C8, Jacob's Ladder
0x00C9, Lucky Clovers
0x00CA, Dandelion
0x00CE, Red Tulips (Wilted)
0x00CF, White Tulips (Wilted)
0x00D0, Yellow Tulips (Wilted)
0x00D1, Pink Tulips (Wilted)
0x00D2, Purple Tulips (Wilted)
0x00D3, Black Tulips (Wilted)
0x00D4, Orange Tulips (Wilted)
0x00D5, White Pansies (Wilted)
0x00D6, Yellow Pansies (Wilted)
0x00D7, Red Pansies (Wilted)
0x00D8, Purple Pansies (Wilted)
0x00D9, Orange Pansies (Wilted)
0x00DA, Blue Pansies (Wilted)
0x00DB, White Cosmos (Wilted)
0x00DC, Red Cosmos (Wilted)
0x00DD, Sun Cosmos (Wilted)
0x00DE, Pink Cosmos (Wilted)
0x00DF, Orange Cosmos (Wilted)
0x00E0, Black Cosmos (Wilted)
0x00E1, Red Roses (Wilted)
0x00E2, White Roses (Wilted)
0x00E3, Yellow Roses (Wilted)
0x00E4, Pink Roses (Wilted)
0x00E5, Orange Roses (Wilted)
0x00E6, Purple Roses (Wilted)
0x00E7, Black Roses (Wilted)
0x00E8, Blue Roses (Wilted)
0x00E9, Gold Roses (Wilted)
0x00EA, Red Carnations (Wilted)
0x00EB, Pink Carnations (Wilted)
0x00EC, White Carnations (Wilted)
0x00ED, White Lilies (Wilted)
0x00EE, Yellow Lilies (Wilted)
0x00EF, Red Lilies (Wilted)
0x00F0, Orange Lilies (Wilted)
0x00F1, Pink Lilies (Wilted)
0x00F2, Black Lilies (Wilted)
0x00F3, Purple Violets (Wilted)
0x00F4, Blue Violets (Wilted)
0x00F5, White Violets (Wilted)
0x00F6, Yellow Violets (Wilted)
0x00F7, Jacob's Ladder (Wilted)
0x003A, Apple Tree (Growing 1)
0x003B, Apple Tree (Growing 2)
0x003C, Apple Tree (Growing 3)
0x003D, Apple Tree (Growing 4)
0x003E, Apple Tree
0x003F, Orange Tree (Growing 1)
0x0040, Orange Tree (Growing 2)
0x0041, Orange Tree (Growing 3)
0x0042, Orange Tree (Growing 4)
0x0043, Orange Tree
0x0044, Pear Tree (Growing 1)
0x0045, Pear Tree (Growing 2)
0x0046, Pear Tree (Growing 3)
0x0047, Pear Tree (Growing 4)
0x0048, Pear Tree
0x0049, Peach Tree (Growing 1)
0x004A, Peach Tree (Growing 2)
0x004B, Peach Tree (Growing 3)
0x004C, Peach Tree (Growing 4)
0x004D, Peach Tree
0x004E, Cherry Tree (Growing 1)
0x004F, Cherry Tree (Growing 2)
0x0050, Cherry Tree (Growing 3)
0x0051, Cherry Tree (Growing 4)
0x0052, Cherry Tree
0x0005, Dead Bamboo
0x0006, Dead Tree
0x0007, Cut Tree (Growing 1)
0x0008, Cut Tree (Growing 2)
0x0009, Cut Tree (Growing 3)
0x000A, Tree Stump
0x000B, Tree Stump (Heart)
0x000C, Tree Stump (Butterfly)
0x000D, Tree Stump (Citrus)
0x000E, Tree Stump (Leaf)
0x000F, Tree Stump (Cross)
0x0010, Tree Stump (Triforce)
0x0011, Cut Cedar (Growing 1)
0x0012, Cut Cedar (Growing 2)
0x0013, Cut Cedar (Growing 3)
0x0014, Cedar Stump
0x0015, Cedar Stump (Star)
0x0016, Cedar Stump (Cat)
0x0017, Cedar Stump (Flower)
0x0018, Cedar Stump (Leaf)
0x0019, Cedar Ctump (Musical Note)
0x001A, Cedar Stump (Clover)
0x0022, Tree (Growing 1)
0x0023, Tree (Growing 2)
0x0024, Tree (Growing 3)
0x0025, Tree (Growing 4)
0x0026, Tree
0x0027, Cedar (growing 1)
0x0028, Cedar (growing 2)
0x0029, Cedar (growing 3)
0x002A, Cedar (growing 4)
0x002B, Cedar
0x002C, Coconut Palm Tree (growing 1)
0x002D, Coconut Palm Tree (growing 2)
0x002E, Coconut Palm Tree (growing 3)
0x002F, Coconut Palm Tree (growing 4)
0x0030, Coconut Palm Tree
0x0031, Banana Palm Tree (growing 1)
0x0032, Banana Palm Tree (growing 2)
0x0033, Banana Palm Tree (growing 3)
0x0034, Banana Palm Tree (growing 4)
0x0035, Banana Palm Tree
0x0036, Bamboo (growing 1)
0x0037, Bamboo (growing 2)
0x0038, Bamboo (growing 3)
0x0039, Bamboo
0x0053, Durian Tree (growing 1)
0x0054, Durian Tree (growing 2)
0x0055, Durian Tree (growing 3)
0x0056, Durian Tree (growing 4)
0x0057, Durian Tree
0x0058, Lemon Tree (growing 1)
0x0059, Lemon Tree (growing 2)
0x005A, Lemon Tree (growing 3)
0x005B, Lemon Tree (growing 4)
0x005C, Lemon Tree
0x005D, Lychee Tree (growing 1)
0x005E, Lychee Tree (growing 2)
0x005F, Lychee Tree (growing 3)
0x0060, Lychee Tree (growing 4)
0x0061, Lychee Tree
0x0062, Mango Tree (growing 1)
0x0063, Mango Tree (growing 2)
0x0064, Mango Tree (growing 3)
0x0065, Mango Tree (growing 4)
0x0066, Mango Tree
0x0067, Persimmons Tree (growing 1)
0x0068, Persimmons Tree (growing 2)
0x0069, Persimmons Tree (growing 3)
0x006A, Persimmons Tree (growing 4)
0x006B, Persimmons Tree
0x006C, Money Tree (growing 1)
0x006D, Money Tree (growing 2)
0x006E, Money Tree (growing 3)
0x006F, Money Tree (growing 4)
0x0070, Money Tree
0x0071, Tree (item)
0x0072, Tree (bees)
0x0073, Tree (money 1)
0x0074, Tree (money 2)
0x0075, Tree (egg)
0x0076, Cedar (item)
0x0077, Cedar (bees)
0x0078, Cedar (money 1)
0x0079, Cedar (money 2)
0x0080, Holly Bush (growing 1)
0x0081, Holly Bush (growing 2)
0x0082, Holly Bush
0x0083, Pink Azalea Bush (growing 1)
0x0084, Pink Azalea Bush (growing 2)
0x0085, Pink Azalea Bush
0x0086, White Azalea Bush (growing 1)
0x0087, White Azalea Bush (growing 2)
0x0088, White Azalea Bush
0x0089, Blue Hydrangea Bush (growing 1)
0x008A, Blue Hydrangea Bush (growing 2)
0x008B, Blue Hydrangea Bush
0x008C, Pink Hydrangea Bush (growing 1)
0x008D, Pink Hydrangea Bush (growing 2)
0x008E, Pink Hydrangea Bush
0x008F, Red Hibiscus Bush (growing 1)
0x0090, Red Hibiscus Bush (growing 2)
