//Nothing
0x7FFE, Empty
//Patterns
0x009D, Pattern
//Outside flowers
0x009F, Red Tulips
0x00A0, White Tulips
0x00A1, Yellow Tulips
0x00A2, Pink Tulips
0x00A3, Purple Tulips
0x00A4, Black Tulips
0x00A5, Orange Tulips
0x00A6, White Pansies
0x00A7, Yellow Pansies
0x00A8, Red Pansies
0x00A9, Purple Pansies
0x00AA, Orange Pansies
0x00AB, Blue Pansies
0x00AC, White Cosmos
0x00AD, Red Cosmos
0x00AE, Yellow Cosmos
0x00AF, Pink Cosmos
0x00B0, Orange Cosmos
0x00B1, Black Cosmos
0x00B2, Red Roses
0x00B3, White Roses
0x00B4, Yellow Roses
0x00B5, Pink Roses
0x00B6, Orange Roses
0x00B7, Purple Roses
0x00B8, Black Roses
0x00B9, Blue Roses
0x00BA, Gold Roses
0x00BB, Red Carnations
0x00BC, Pink Carnations
0x00BD, White Carnations
0x00BE, White Lilies
0x00BF, Yellow Lilies
0x00C0, Red Lilies
0x00C1, Orange Lilies
0x00C2, Pink Lilies
0x00C3, Black Lilies
0x00C4, Purple Violets
0x00C5, Blue Violets
0x00C6, White Violets
0x00C7, Yellow Violets
0x00C8, Jacob's Ladder
0x00C9, Lucky Clovers
0x00CA, Dandelions
0x00CB, Dandelion Puffs
0x00CC, Clovers (Weed)
0x00CD, Rafflesia
//Outside flowers (wilted)
//Fruit trees
0x003A, Apple Tree (Growing 1)
0x003B, Apple Tree (Growing 2)
0x003C, Apple Tree (Growing 3)
0x003D, Apple Tree (Growing 4)
0x003E, Apple Tree
0x003F, Orange Tree (Growing 1)
0x0040, Orange Tree (Growing 2)
0x0041, Orange Tree (Growing 3)
0x0042, Orange Tree (Growing 4)
0x0043, Orange Tree
0x0044, Pear Tree (Growing 1)
0x0045, Pear Tree (Growing 2)
0x0046, Pear Tree (Growing 3)
0x0047, Pear Tree (Growing 4)
0x0048, Pear Tree
0x0049, Peaches Tree (Growing 1)
0x004A, Peaches Tree (Growing 2)
0x004B, Peaches Tree (Growing 3)
0x004C, Peaches Tree (Growing 4)
0x004D, Peaches Tree
0x004E, Cherry Tree (Growing 1)
0x004F, Cherry Tree (Growing 2)
0x0050, Cherry Tree (Growing 3)
0x0051, Cherry Tree (Growing 4)
0x0052, Cherry Tree
//More trees
0x0005, Dead Bamboo
0x0006, Dead Tree
0x0007, Cut Tree (Growing 1)
0x0008, Cut Tree (Growing 2)
0x0009, Cut Tree (Growing 3)
0x000A, Tree Stump
0x000B, Tree Stump (Heart)
0x000C, Tree Stump (Butterfly)
0x000D, Tree Stump (Citrus)
0x000E, Tree Stump (Redd's Leaf)
0x000F, Tree Stump (Cross)
0x0010, Tree Stump (Triforce)
0x0011, Cut Cedar (Growing 1)
0x0012, Cut Cedar (Growing 2)
0x0013, Cut Cedar (Growing 3)
0x0014, Cedar Stump
0x0015, Cedar Stump (Star)
0x0016, Cedar Stump (Cat)
0x0017, Cedar Stump (Flower)
0x0018, Cedar Stump (Leaf)
0x0019, Cedar Stump (Musical Note)
0x001A, Cedar Stump (Clover)
0x001B, Cut Palm Tree (Growing 1)
0x001C, Cut Palm Tree (Growing 2)
0x001D, Cut Palm Tree (Growing 3)
0x001E, Palm Tree Stump
0x001F, Cut Bamboo (Growing 1)
0x0020, Cut Bamboo (Growing 2)
0x0021, Cut Bamboo (Growing 3)
0x0022, Tree (Growing 1)
0x0023, Tree (Growing 2)
0x0024, Tree (Growing 3)
0x0025, Tree (Growing 4)
0x0026, Tree
0x0027, Cedar (Growing 1)
0x0028, Cedar (Growing 2)
0x0029, Cedar (Growing 3)
0x002A, Cedar (Growing 4)
0x002B, Cedar
0x002C, Coconut Palm Tree (Growing 1)
0x002D, Coconut Palm Tree (Growing 2)
0x002E, Coconut Palm Tree (Growing 3)
0x002F, Coconut Palm Tree (Growing 4)
0x0030, Coconut Palm Tree
0x0031, Banana Palm Tree (Growing 1)
0x0032, Banana Palm Tree (Growing 2)
0x0033, Banana Palm Tree (Growing 3)
0x0034, Banana Palm Tree (Growing 4)
0x0035, Banana Palm Tree
0x0036, Bamboo (Growing 1)
0x0037, Bamboo (Growing 2)
0x0038, Bamboo (Growing 3)
0x0039, Bamboo
//More trees (2)
0x0053, Durian Tree (Growing 1)
0x0054, Durian Tree (Growing 2)
0x0055, Durian Tree (Growing 3)
0x0056, Durian Tree (Growing 4)
0x0057, Durian Tree
0x0058, Lemon Tree (Growing 1)
0x0059, Lemon Tree (Growing 2)
