//Villager Info
ID = 0x0000, Name = Cyrano, Personality = 2, Catchphrase = ah-CHOO, Shirt = 0x2472, Furniture = [0x213C, 0x2390, 0x241A, 0x27EA, 0x2B9A, 0x2B9B, 0x2BA7, 0x2B9B, 0x29E8, 0x7FFE, 0x2BA6, 0x2B99, 0x2BA5, 0x29B6, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x200000, ]
ID = 0x0001, Name = Antonio, Personality = 1, Catchphrase = honk, Shirt = 0x2464, Furniture = [0x213C, 0x23B7, 0x243D, 0x27E7, 0x2A10, 0x2C23, 0x2A0B, 0x2D31, 0x2C6C, 0x2A14, 0x2C26, 0x2D1A, 0x7FFE, 0x2C22, 0x2C4F, 0x7FFE, 0x7FFE, 0x7FFE, 0x2A15, 0x7FFE, 0x230001, ]
ID = 0x0002, Name = Pango, Personality = 5, Catchphrase = snooooof, Shirt = 0x24E9, Furniture = [0x2142, 0x238C, 0x23EB, 0x27F3, 0x29F0, 0x29E7, 0x29FB, 0x7FFE, 0x29ED, 0x2979, 0x29FE, 0x2BDB, 0x2BF2, 0x2C46, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0xE0002, ]
ID = 0x0003, Name = Anabelle, Personality = 5, Catchphrase = snorty, Shirt = 0x250B, Furniture = [0x213D, 0x2386, 0x240F, 0x27F2, 0x2A26, 0x2AE8, 0x2A21, 0x2C1E, 0x2A17, 0x2A1C, 0x2BE0, 0x2A1E, 0x2DEE, 0x2C27, 0x21F6, 0x7FFE, 0x7FFE, 0x7FFE, 0x2A20, 0x7FFE, 0x240003, ]
ID = 0x0004, Name = Snooty, Personality = 6, Catchphrase = sniffff, Shirt = 0x7FFE, Furniture = [0x2168, 0x237D, 0x2476, 0x27EA, 0x7FFE, 0x2F7C, 0x2EF9, 0x2FF6, 0x2CEF, 0x7FFE, 0x7FFE, 0x7FFE, 0x2B9E, 0x3008, 0x2EF3, 0x2EFA, 0x2F0F, 0x2CF4, 0x2D80, 0x7FFE, 0x270004, ]
ID = 0x0005, Name = Annalisa, Personality = 4, Catchphrase = gumdrop, Shirt = 0x2497, Furniture = [0x2168, 0x237D, 0x241B, 0x27EA, 0x7FFE, 0x2CBA, 0x2CEF, 0x2B9D, 0x2B9B, 0x2CF4, 0x2BCE, 0x2BB6, 0x7FFE, 0x2B9E, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x2D80, 0x7FFE, 0x270005, ]
ID = 0x0006, Name = Olaf, Personality = 3, Catchphrase = whiffa, Shirt = 0x256F, Furniture = [0x217D, 0x23B4, 0x2413, 0x2803, 0x2D40, 0x2C05, 0x2D29, 0x2C44, 0x2DB0, 0x7FFE, 0x2D1F, 0x2B8F, 0x7FFE, 0x2C46, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x2D7B, 0x7FFE, 0x150006, ]
ID = 0x0007, Name = Teddy, Personality = 1, Catchphrase = grooof, Shirt = 0x2462, Furniture = [0x215B, 0x2376, 0x2427, 0x27EA, 0x2BEE, 0x2C44, 0x2CE8, 0x2C49, 0x2B79, 0x2C1D, 0x2B7A, 0x2B91, 0x2BDA, 0x2CF6, 0x2B88, 0x2B7B, 0x7FFE, 0x7FFE, 0x2D74, 0x7FFE, 0x260007, ]
ID = 0x0008, Name = Pinky, Personality = 5, Catchphrase = wah, Shirt = 0x2497, Furniture = [0x2141, 0x2393, 0x2416, 0x27F0, 0x29F5, 0x2C6A, 0x29E7, 0x29E2, 0x29E8, 0x2995, 0x2962, 0x2BDB, 0x29E5, 0x2C48, 0x22E8, 0x2BD0, 0x7FFE, 0x7FFE, 0x29E9, 0x7FFE, 0x150008, ]
ID = 0x0009, Name = Curt, Personality = 2, Catchphrase = fuzzball, Shirt = 0x2458, Furniture = [0x2157, 0x237B, 0x241A, 0x27EA, 0x2C6B, 0x2C1C, 0x2C6C, 0x2C4C, 0x2B9D, 0x295C, 0x7FFE, 0x2BDB, 0x2B84, 0x259C, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x2D71, 0x7FFE, 0x220009, ]
ID = 0x000A, Name = Chow, Personality = 2, Catchphrase = aiya, Shirt = 0x24DF, Furniture = [0x2140, 0x238E, 0x241E, 0x27EB, 0x29DF, 0x29E7, 0x22FD, 0x2316, 0x29E8, 0x297E, 0x29E5, 0x2BD9, 0x29E6, 0x7FFE, 0x2B8C, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x24000A, ]
ID = 0x000B, Name = Nate, Personality = 0, Catchphrase = yawwwn, Shirt = 0x24C9, Furniture = [0x2132, 0x2391, 0x2406, 0x2802, 0x2B34, 0x2B2D, 0x2E20, 0x2E20, 0x2BB2, 0x2AF0, 0x2B2C, 0x2C7B, 0x2BF5, 0x2C26, 0x2C50, 0x7FFE, 0x7FFE, 0x7FFE, 0x2E24, 0x7FFE, 0x25000B, ]
ID = 0x000C, Name = Groucho, Personality = 2, Catchphrase = grumble, Shirt = 0x249B, Furniture = [0x2170, 0x2384, 0x2431, 0x27EA, 0x2A37, 0x2A3E, 0x2A3D, 0x2C4A, 0x2A3B, 0x2B7D, 0x2BD9, 0x2D09, 0x7FFE, 0x2B91, 0x2BCB, 0x7FFE, 0x7FFE, 0x7FFE, 0x2A41, 0x7FFE, 0x21000C, ]
ID = 0x000D, Name = Tutu, Personality = 5, Catchphrase = twinkles, Shirt = 0x2463, Furniture = [0x2140, 0x234F, 0x2453, 0x27F8, 0x7FFE, 0x2A4D, 0x2AE8, 0x2A53, 0x2A4E, 0x2C26, 0x2C22, 0x2C5E, 0x2AF1, 0x2BDA, 0x2CFE, 0x2B8A, 0x2936, 0x7FFE, 0x2AEC, 0x2CD6, 0x4E000D, ]
ID = 0x000E, Name = Ursala, Personality = 7, Catchphrase = grooomph, Shirt = 0x7FFE, Furniture = [0x2153, 0x2385, 0x23EE, 0x27F0, 0x2A16, 0x2F7C, 0x2EEE, 0x2F3E, 0x2F47, 0x2CEB, 0x2F3D, 0x2BE2, 0x7FFE, 0x7FFE, 0x2FF7, 0x2CB3, 0x7FFE, 0x7FFE, 0x2F5E, 0x7FFE, 0x19000E, ]
ID = 0x000F, Name = Grizzly, Personality = 2, Catchphrase = grrr..., Shirt = 0x244A, Furniture = [0x2159, 0x2364, 0x2402, 0x27FB, 0x2A32, 0x7FFE, 0x2B03, 0x2C18, 0x22FF, 0x2AFD, 0x2B05, 0x2AFE, 0x2A2F, 0x2B00, 0x2D97, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x000F, ]
ID = 0x0010, Name = Paula, Personality = 7, Catchphrase = yodelay, Shirt = 0x2589, Furniture = [0x2166, 0x2371, 0x2410, 0x27F6, 0x2E84, 0x2A17, 0x2A1F, 0x2E85, 0x2C4A, 0x2D1A, 0x2BD7, 0x2BE4, 0x2BDF, 0x2C62, 0x2D20, 0x2D97, 0x7FFE, 0x7FFE, 0x2CD7, 0x2CD6, 0x1B0010, ]
